Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie
2014-07-18,2.69,2.69,2.69,2.69
2014-07-21,2.69,2.69,2.69,2.69
2014-07-22,2.69,2.69,2.69,2.69
2014-07-23,2.69,2.69,2.69,2.69
2014-07-24,2.69,2.69,2.69,2.69
2014-07-25,2.69,2.69,2.69,2.69
2014-07-28,2.69,2.69,2.69,2.69
2014-07-29,2.69,2.69,2.69,2.69
2014-07-30,2.69,2.69,2.69,2.69
2014-07-31,2.69,2.69,2.69,2.69
2014-08-01,2.69,2.69,2.69,2.69
2014-08-04,2.69,2.69,2.69,2.69
2014-08-05,2.69,2.69,2.69,2.69
2014-08-06,2.69,2.69,2.69,2.69
2014-08-07,2.69,2.69,2.69,2.69
2014-08-08,2.69,2.69,2.69,2.69
2014-08-11,2.69,2.69,2.69,2.69
2014-08-12,2.69,2.69,2.69,2.69
2014-08-13,2.68,2.68,2.68,2.68
2014-08-14,2.68,2.68,2.68,2.68
2014-08-18,2.68,2.68,2.68,2.68
2014-08-19,2.67,2.67,2.67,2.67
2014-08-20,2.66,2.66,2.66,2.66
2014-08-21,2.66,2.66,2.66,2.66
2014-08-22,2.65,2.65,2.65,2.65
2014-08-25,2.64,2.64,2.64,2.64
2014-08-26,2.63,2.63,2.63,2.63
2014-08-27,2.62,2.62,2.62,2.62
2014-08-28,2.61,2.61,2.61,2.61
2014-08-29,2.6,2.6,2.6,2.6
2014-09-01,2.59,2.59,2.59,2.59
2014-09-02,2.58,2.58,2.58,2.58
2014-09-03,2.57,2.57,2.57,2.57
2014-09-04,2.55,2.55,2.55,2.55
2014-09-05,2.53,2.53,2.53,2.53
2014-09-08,2.52,2.52,2.52,2.52
2014-09-09,2.51,2.51,2.51,2.51
2014-09-10,2.5,2.5,2.5,2.5
2014-09-11,2.49,2.49,2.49,2.49
2014-09-12,2.48,2.48,2.48,2.48
2014-09-15,2.47,2.47,2.47,2.47
2014-09-16,2.46,2.46,2.46,2.46
2014-09-17,2.45,2.45,2.45,2.45
2014-09-18,2.43,2.43,2.43,2.43
2014-09-19,2.41,2.41,2.41,2.41
2014-09-22,2.39,2.39,2.39,2.39
2014-09-23,2.37,2.37,2.37,2.37
2014-09-24,2.35,2.35,2.35,2.35
2014-09-25,2.3,2.3,2.3,2.3
2014-09-26,2.28,2.28,2.28,2.28
2014-09-29,2.26,2.26,2.26,2.26
2014-09-30,2.25,2.25,2.25,2.25
2014-10-02,2.23,2.23,2.23,2.23
2014-10-03,2.22,2.22,2.22,2.22
2014-10-06,2.21,2.21,2.21,2.21
2014-10-07,2.21,2.21,2.21,2.21
2014-10-08,2.21,2.21,2.21,2.21
2014-10-09,2.08,2.08,2.08,2.08
2014-10-10,2.05,2.05,2.05,2.05
2014-10-13,2.04,2.04,2.04,2.04
